cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807902050;28079;Madrid;Madrid;32200;13883
2807902051;28079;Madrid;Madrid;45597;18616
2807902052;28079;Madrid;Madrid;48737;18358
2807902053;28079;Madrid;Madrid;44874;18959
2807902054;28079;Madrid;Madrid;34768;15140
2807902055;28079;Madrid;Madrid;37830;15960
2807902056;28079;Madrid;Madrid;36896;15934
2807902057;28079;Madrid;Madrid;34882;13619
2807902058;28079;Madrid;Madrid;31652;14534
2807902059;28079;Madrid;Madrid;36345;15979
2807902060;28079;Madrid;Madrid;39319;17267
2807902061;28079;Madrid;Madrid;35384;16875
2807902062;28079;Madrid;Madrid;32821;14492
2807902063;28079;Madrid;Madrid;32852;16191
2807902064;28079;Madrid;Madrid;36695;16958
2807902065;28079;Madrid;Madrid;35459;16662
2807902066;28079;Madrid;Madrid;46504;19798
2807902067;28079;Madrid;Madrid;27586;12830
2807902068;28079;Madrid;Madrid;28722;13273
2807902069;28079;Madrid;Madrid;39302;17291
2807902070;28079;Madrid;Madrid;38440;17697
2807902071;28079;Madrid;Madrid;40998;18589
2807902072;28079;Madrid;Madrid;36344;17199
2807902073;28079;Madrid;Madrid;39382;18154
2807902074;28079;Madrid;Madrid;36428;16615
2807902075;28079;Madrid;Madrid;38186;16297
2807902077;28079;Madrid;Madrid;34908;16220
2807902078;28079;Madrid;Madrid;34848;16785
2807902079;28079;Madrid;Madrid;37857;17205
2807902080;28079;Madrid;Madrid;49511;20924
2807902081;28079;Madrid;Madrid;37470;17124
2807902082;28079;Madrid;Madrid;30031;14008
2807902083;28079;Madrid;Madrid;42657;15310
2807902085;28079;Madrid;Madrid;58211;21904
2807902086;28079;Madrid;Madrid;43918;18472
2807902087;28079;Madrid;Madrid;60033;23429
2807902088;28079;Madrid;Madrid;34618;15785
2807902089;28079;Madrid;Madrid;50755;20937
2807902090;28079;Madrid;Madrid;47732;17938
2807902091;28079;Madrid;Madrid;46348;19482
2807902092;28079;Madrid;Madrid;46542;20407
2807902093;28079;Madrid;Madrid;46684;17247
2807902094;28079;Madrid;Madrid;74012;26175
2807902095;28079;Madrid;Madrid;75645;31991
2807902096;28079;Madrid;Madrid;69859;24584
2807902097;28079;Madrid;Madrid;53018;19613
2807902098;28079;Madrid;Madrid;52475;21375
2807902099;28079;Madrid;Madrid;51362;18754
2807902100;28079;Madrid;Madrid;52548;20837
2807902101;28079;Madrid;Madrid;60640;23400
2807902102;28079;Madrid;Madrid;57395;19537
2807902103;28079;Madrid;Madrid;60778;23855
2807902104;28079;Madrid;Madrid;52127;21956
2807902105;28079;Madrid;Madrid;56750;21742
2807902106;28079;Madrid;Madrid;55404;21163
2807902107;28079;Madrid;Madrid;59404;23595
2807902108;28079;Madrid;Madrid;59956;24727
2807902109;28079;Madrid;Madrid;52916;22487
2807902110;28079;Madrid;Madrid;49182;19673
2807902111;28079;Madrid;Madrid;49257;20990
2807902112;28079;Madrid;Madrid;58017;21738
2807903001;28079;Madrid;Madrid;68261;27209
2807903002;28079;Madrid;Madrid;37668;17296
2807903003;28079;Madrid;Madrid;44945;19318
2807903004;28079;Madrid;Madrid;32621;15041
2807903005;28079;Madrid;Madrid;34678;16499
2807903006;28079;Madrid;Madrid;47276;20624
2807903007;28079;Madrid;Madrid;32910;16258
2807903008;28079;Madrid;Madrid;40115;19202
2807903009;28079;Madrid;Madrid;46167;20487
2807903010;28079;Madrid;Madrid;47043;21186
2807903011;28079;Madrid;Madrid;40624;17688
2807903012;28079;Madrid;Madrid;48845;21045
2807903013;28079;Madrid;Madrid;40750;18084
2807903014;28079;Madrid;Madrid;45590;18972
2807903015;28079;Madrid;Madrid;37686;16089
2807903016;28079;Madrid;Madrid;29259;13363
2807903017;28079;Madrid;Madrid;44151;19020
2807903018;28079;Madrid;Madrid;37237;17660
2807903019;28079;Madrid;Madrid;51329;21808
2807903020;28079;Madrid;Madrid;35719;17416
2807903021;28079;Madrid;Madrid;38047;16925
2807903022;28079;Madrid;Madrid;30879;14386
2807903023;28079;Madrid;Madrid;40066;18219
2807903024;28079;Madrid;Madrid;41134;17200
2807903025;28079;Madrid;Madrid;45620;19894
2807903026;28079;Madrid;Madrid;39973;17621
2807903027;28079;Madrid;Madrid;36360;15979
2807903028;28079;Madrid;Madrid;46666;19095
2807903029;28079;Madrid;Madrid;63239;24681
2807903030;28079;Madrid;Madrid;73971;26979
